Date,Year,Month,CD_UF,PopTotal_UF,state_index,pred.mean,pred.uci,pred.lci
2007-11-01,2007,11,16,669526,16,8.214766864916372,9.036243551408011,7.393290178424737
2007-12-01,2007,12,16,669526,16,16.280174332288812,17.908191765517696,14.652156899059934
2008-01-01,2008,1,16,669526,16,19.41672168071143,21.358393848782573,17.475049512640286
2008-02-01,2008,2,16,669526,16,15.682736742113077,17.251010416324387,14.11446306790177
2008-03-01,2008,3,16,669526,16,17.176330717552418,18.893963789307662,15.458697645797177
2008-04-01,2008,4,16,669526,16,17.475049512640286,19.222554463904316,15.727544561376256
2008-05-01,2008,5,16,669526,16,10.156439032987517,11.17208293628627,9.140795129688765
2008-06-01,2008,6,16,669526,16,5.078219516493759,5.586041468143135,4.570397564844383
2008-07-01,2008,7,16,669526,16,2.5391097582468793,2.7930207340715674,2.2851987824221913
2008-08-01,2008,8,16,669526,16,3.1365473484226154,3.450202083264877,2.8228926135803545
2008-09-01,2008,9,16,669526,16,7.766688672284571,8.543357539513028,6.990019805056114
2008-10-01,2008,10,16,669526,16,29.87187950878681,32.859067459665496,26.88469155790813
2008-11-01,2008,11,16,669526,16,37.787927578615324,41.566720336476855,34.009134820753786
2008-12-01,2008,12,16,669526,16,13.143626983866199,14.457989682252819,11.829264285479578
2009-01-01,2009,1,16,669526,16,59.14632142739789,65.06095357013768,53.23168928465811
2009-02-01,2009,2,16,669526,16,52.42514853792086,57.66766339171294,47.18263368412878
2009-03-01,2009,3,16,669526,16,56.15913347651921,61.77504682417114,50.54322012886729
2009-04-01,2009,4,16,669526,16,25.39109758246879,27.930207340715675,22.85198782422191
2009-05-01,2009,5,16,669526,16,17.773768307728155,19.55114513850097,15.99639147695534
2009-06-01,2009,6,16,669526,16,14.039783369129802,15.443761706042785,12.635805032216822
2009-07-01,2009,7,16,669526,16,8.214766864916372,9.036243551408011,7.393290178424737
2009-08-01,2009,8,16,669526,16,6.422454094389165,7.0646995038280815,5.780208684950249
2009-09-01,2009,9,16,669526,16,5.376938311581626,5.914632142739789,4.839244480423464
2009-10-01,2009,10,16,669526,16,4.182063131230154,4.600269444353169,3.7638568181071386
2009-11-01,2009,11,16,669526,16,2.389750360702945,2.62872539677324,2.150775324632651
2009-12-01,2009,12,16,669526,16,4.9288601189498245,5.421746130844807,4.435974107054842
2010-01-01,2010,1,16,669526,16,26.7353321603642,29.408865376400616,24.061798944327776
2010-02-01,2010,2,16,669526,16,54.66553950107986,60.13209345118786,49.19898555097189
2010-03-01,2010,3,16,669526,16,31.21611408668222,34.33772549535045,28.094502678013995
